lipids	converted_lipid_name
CL 86:13|CL 24:0_18:1_22:6_22:6	CL 86:13(x)|CL 24:0_18:1_22:6_22:6(x2)
CL 86:14|CL 24:0_18:2_22:6_22:6	CL 86:14(x)|CL 24:0_18:2_22:6_22:6(x2)
CL 86:9|CL 28:0_18:2_18:2_22:5	CL 86:9(x)|CL 28:0_18:2_18:2_22:5(x2)
CL 90:13|CL 26:0_20:4_22:4_22:5	CL 90:13(x)|CL 26:0_20:4_22:4_22:5(x2)
CL 94:17|CL 28:0_22:5_22:6_22:6	CL 94:17(x)|CL 28:0_22:5_22:6_22:6(x2)
CL 94:18|CL 28:0_22:6_22:6_22:6	CL 94:18(x)|CL 28:0_22:6_22:6_22:6(x2)
Cer 28:3;O2|Cer 12:2;O2/16:1	Cer 28:3(O2)|Cer 12:2(O2/16:1)
Cer 29:4;O2|Cer 13:1;O2/16:3	Cer 29:4(O2)|Cer 13:1(O2/16:3)
Cer 31:6;O2|Cer 15:3;O2/16:3	Cer 31:6(O2)|Cer 15:3(O2/16:3)
Cer 34:1;O2|Cer 18:1;O2/16:0	Cer 34:1(O2)|Cer 18:1(O2/16:0)
Cer 36:1;O2|Cer 18:1;O2/18:0	Cer 36:1(O2)|Cer 18:1(O2/18:0)
Cer 36:1;O3|Cer 21:0;O2/15:1;O	Cer 36:1(O3)|Cer 21:0(O2/15:1;O)
Cer 36:5;O3|Cer 18:2;O2/18:3;O	Cer 36:5(O3)|Cer 18:2(O2/18:3;O)
Cer 38:1;O2|Cer 18:1;O2/20:0	Cer 38:1(O2)|Cer 18:1(O2/20:0)
Cer 38:1;O3|Cer 23:0;O2/15:1;O	Cer 38:1(O3)|Cer 23:0(O2/15:1;O)
Cer 38:5;O2|Cer 20:3;O2/18:2	Cer 38:5(O2)|Cer 20:3(O2/18:2)
Cer 39:1;O2|Cer 17:1;O2/22:0	Cer 39:1(O2)|Cer 17:1(O2/22:0)
Cer 39:2;O2|Cer 20:2;O2/19:0	Cer 39:2(O2)|Cer 20:2(O2/19:0)
