lipids	converted_lipid_name
CL 76:13|CL 36:5_40:8	CL 76:13(m)|CL 36:5_40:8(m2)
CL 76:4|CL 37:0_39:4	CL 76:4(m)|CL 37:0_39:4(m2)
CL 76:5|CL 35:2_41:3	CL 76:5(m)|CL 35:2_41:3(m2)
CL 76:6|CL 18:0_18:1_18:0_22:5	CL 76:6(m)|CL 18:0_18:1_18:0_22:5(m2)
CL 76:7|CL 38:3_38:4	CL 76:7(m)|CL 38:3_38:4(m2)
CL 76:8|CL 18:1_20:3_18:1_20:3	CL 76:8(m)|CL 18:1_20:3_18:1_20:3(m2)
CL 76:8|CL 38:3_38:5	CL 76:8(m)|CL 38:3_38:5(m2)
CL 76:9|CL 18:1_18:1_18:1_22:6	CL 76:9(m)|CL 18:1_18:1_18:1_22:6(m2)
CL 76:9|CL 18:2_18:2_18:2_22:3	CL 76:9(m)|CL 18:2_18:2_18:2_22:3(m2)
CL 76:9|CL 36:2_40:7	CL 76:9(m)|CL 36:2_40:7(m2)
CL 77:11|CL 37:3_40:8	CL 77:11(m)|CL 37:3_40:8(m2)
CL 77:6|CL 38:3_39:3	CL 77:6(m)|CL 38:3_39:3(m2)
CL 77:7	CL 77:7
CL 77:7|CL 35:0_42:7	CL 77:7(m)|CL 35:0_42:7(m2)
CL 77:8|CL 35:2_42:6	CL 77:8(m)|CL 35:2_42:6(m2)
CL 78:10|CL 18:1_18:2_20:3_22:4	CL 78:10(m)|CL 18:1_18:2_20:3_22:4(m2)
CL 78:10|CL 38:3_40:7	CL 78:10(m)|CL 38:3_40:7(m2)
CL 78:11|CL 18:1_20:3_18:1_22:6	CL 78:11(m)|CL 18:1_20:3_18:1_22:6(m2)
CL 78:11|CL 38:4_40:7	CL 78:11(m)|CL 38:4_40:7(m2)
CL 78:12|CL 16:0_22:6_18:0_22:6	CL 78:12(m)|CL 16:0_22:6_18:0_22:6(m2)
CL 78:12|CL 18:1_18:2_20:3_22:6	CL 78:12(m)|CL 18:1_18:2_20:3_22:6(m2)
CL 78:12|CL 18:1_20:3_18:2_22:6	CL 78:12(m)|CL 18:1_20:3_18:2_22:6(m2)
