lipids	converted_lipid_name
Cer 41:3;O3|Cer 18:2;O2/23:1;O	Cer 41:3(O3)|Cer 18:2(O2/23:1;O)
Cer 41:4;O2|Cer 15:1;O2/26:3	Cer 41:4(O2)|Cer 15:1(O2/26:3)
Cer 41:4;O2|Cer 20:3;O2/21:1	Cer 41:4(O2)|Cer 20:3(O2/21:1)
Cer 41:6;O2|Cer 13:0;O2/28:6	Cer 41:6(O2)|Cer 13:0(O2/28:6)
Cer 42:1;O2|Cer 18:1;O2/24:0	Cer 42:1(O2)|Cer 18:1(O2/24:0)
Cer 42:2;O2|Cer 18:1;O2/24:1	Cer 42:2(O2)|Cer 18:1(O2/24:1)
Cer 42:3;O2|Cer 18:1;O2/24:2	Cer 42:3(O2)|Cer 18:1(O2/24:2)
Cer 42:8;O2|Cer 12:2;O2/30:6	Cer 42:8(O2)|Cer 12:2(O2/30:6)
Cer 44:4;O2|Cer 16:1;O2/28:3	Cer 44:4(O2)|Cer 16:1(O2/28:3)
Cer 47:8;O4|Cer 29:6;O3(FA 18:1)	Cer 47:8(O4)|Cer 29:6(O3(FA 18:1))
Cer 50:8;O2|Cer 18:3;O2/32:5	Cer 50:8(O2)|Cer 18:3(O2/32:5)
Cer 51:9;O4|Cer 18:1;O2/33:8;O2	Cer 51:9(O4)|Cer 18:1(O2/33:8;O2)
Cer 55:11;O4|Cer 37:9;O3(FA 18:1)	Cer 55:11(O4)|Cer 37:9(O3(FA 18:1))
Cer 56:11;O4|Cer 38:9;O3(FA 18:1)	Cer 56:11(O4)|Cer 38:9(O3(FA 18:1))
Cer 56:12;O4|Cer 38:9;O3(FA 18:2)	Cer 56:12(O4)|Cer 38:9(O3(FA 18:2))
Cer 58:11;O4|Cer 40:9;O3(FA 18:1)	Cer 58:11(O4)|Cer 40:9(O3(FA 18:1))
DG 18:0|DG 9:0_9:0	DG 18:0(m)|DG 9:0_9:0(m2)
DG 23:4	DG 23:4
DG 24:3	DG 24:3
DG 25:1	DG 25:1
DG 25:3	DG 25:3
DG 26:1	DG 26:1
DG 27:1	DG 27:1
DG 28:2	DG 28:2
DG 28:3	DG 28:3
DG 30:0|DG 14:0_16:0	DG 30:0(m)|DG 14:0_16:0(m2)
DG 30:1|DG 14:0_16:1	DG 30:1(m)|DG 14:0_16:1(m2)
DG 30:3	DG 30:3
DG 30:6	DG 30:6
DG 31:3	DG 31:3
DG 32:0	DG 32:0
DG 32:0|DG 16:0_16:0	DG 32:0(m)|DG 16:0_16:0(m2)
DG 32:1	DG 32:1
DG 32:1|DG 16:0_16:1	DG 32:1(m)|DG 16:0_16:1(m2)
DG 32:2|DG 16:1_16:1	DG 32:2(m)|DG 16:1_16:1(m2)
DG 32:3	DG 32:3
DG 33:2|DG 15:0_18:2	DG 33:2(m)|DG 15:0_18:2(m2)
DG 33:3	DG 33:3
DG 34:0	DG 34:0
DG 34:0|DG 16:0_18:0	DG 34:0(m)|DG 16:0_18:0(m2)
DG 34:1	DG 34:1
DG 34:1|DG 16:0_18:1	DG 34:1(m)|DG 16:0_18:1(m2)
DG 34:2	DG 34:2
DG 34:2|DG 16:0_18:2	DG 34:2(m)|DG 16:0_18:2(m2)
DG 34:3|DG 16:1_18:2	DG 34:3(m)|DG 16:1_18:2(m2)
DG 35:2|DG 17:1_18:1	DG 35:2(m)|DG 17:1_18:1(m2)
DG 36:0	DG 36:0
DG 36:0|DG 16:0_20:0	DG 36:0(m)|DG 16:0_20:0(m2)
DG 36:0|DG 18:0_18:0	DG 36:0(m)|DG 18:0_18:0(m2)
DG 36:1|DG 18:0_18:1	DG 36:1(m)|DG 18:0_18:1(m2)
DG 36:2	DG 36:2
DG 36:2|DG 18:0_18:2	DG 36:2(m)|DG 18:0_18:2(m2)
DG 36:2|DG 18:1_18:1	DG 36:2(m)|DG 18:1_18:1(m2)
DG 36:3	DG 36:3
DG 36:3|DG 18:0_18:3	DG 36:3(m)|DG 18:0_18:3(m2)
DG 36:3|DG 18:1_18:2	DG 36:3(m)|DG 18:1_18:2(m2)
DG 36:4|DG 16:0_20:4	DG 36:4(m)|DG 16:0_20:4(m2)
DG 36:4|DG 18:2_18:2	DG 36:4(m)|DG 18:2_18:2(m2)
DG 36:6	DG 36:6
DG 37:2|DG 18:1_19:1	DG 37:2(m)|DG 18:1_19:1(m2)
DG 37:7	DG 37:7
DG 38:0|DG 16:0_22:0	DG 38:0(m)|DG 16:0_22:0(m2)
DG 38:0|DG 18:0_20:0	DG 38:0(m)|DG 18:0_20:0(m2)
DG 38:1|DG 22:0_16:1	DG 38:1(m)|DG 22:0_16:1(m2)
DG 38:2|DG 16:1_22:1	DG 38:2(m)|DG 16:1_22:1(m2)
DG 38:2|DG 18:1_20:1	DG 38:2(m)|DG 18:1_20:1(m2)
DG 38:3|DG 18:0_20:3	DG 38:3(m)|DG 18:0_20:3(m2)
DG 38:4	DG 38:4
DG 38:4|DG 16:0_22:4	DG 38:4(m)|DG 16:0_22:4(m2)
DG 38:4|DG 18:0_20:4	DG 38:4(m)|DG 18:0_20:4(m2)
DG 38:5|DG 16:0_22:5	DG 38:5(m)|DG 16:0_22:5(m2)
DG 38:6	DG 38:6
DG 38:6|DG 16:0_22:6	DG 38:6(m)|DG 16:0_22:6(m2)
DG 38:8	DG 38:8
DG 40:0|DG 18:0_22:0	DG 40:0(m)|DG 18:0_22:0(m2)
DG 40:2	DG 40:2
DG 40:4|DG 18:0_22:4	DG 40:4(m)|DG 18:0_22:4(m2)
DG 40:5|DG 18:0_22:5	DG 40:5(m)|DG 18:0_22:5(m2)
DG 40:6	DG 40:6
DG 40:6|DG 16:0_24:6	DG 40:6(m)|DG 16:0_24:6(m2)
DG 40:6|DG 18:0_22:6	DG 40:6(m)|DG 18:0_22:6(m2)
DG 40:7	DG 40:7
DG 40:7|DG 18:1_22:6	DG 40:7(m)|DG 18:1_22:6(m2)
DG 41:7	DG 41:7
DG 42:5|DG 18:0_24:5	DG 42:5(m)|DG 18:0_24:5(m2)
DG 42:6	DG 42:6
DG 42:6|DG 16:0_26:6	DG 42:6(m)|DG 16:0_26:6(m2)
DG 42:8	DG 42:8
DG 43:6	DG 43:6
DG 44:6	DG 44:6
DG 44:6|DG 18:0_26:6	DG 44:6(m)|DG 18:0_26:6(m2)
DG 44:8	DG 44:8
DG 45:7	DG 45:7
DG 45:9	DG 45:9
DG 46:10	DG 46:10
DG 46:7	DG 46:7
DG 46:8	DG 46:8
DG 46:9	DG 46:9
DG 47:10	DG 47:10
